File;Run;Program;Number of CPUs;Time in Seconds;CPU Usage in Percentage;Minor Pagefaults
graphs/01-original.graph;1;seq;1;0.0000067;0;232
graphs/01-original.graph;2;seq;1;0.0000033;0;232
graphs/01-original.graph;3;seq;1;0.0000032;0;232
graphs/01-original.graph;4;seq;1;0.0000032;0;232
graphs/01-original.graph;5;seq;1;0.0000031;0;233
graphs/01-original.graph;1;pal;1;0.0000442;0;233
graphs/01-original.graph;2;pal;1;0.0000173;0;233
graphs/01-original.graph;3;pal;1;0.0000210;0;233
graphs/01-original.graph;4;pal;1;0.0000163;0;233
graphs/01-original.graph;5;pal;1;0.0000191;0;233
graphs/01-original.graph;1;pal;2;0.0004756;0;239
graphs/01-original.graph;2;pal;2;0.0006376;0;240
graphs/01-original.graph;3;pal;2;0.0003224;0;240
graphs/01-original.graph;4;pal;2;0.0005007;0;239
graphs/01-original.graph;5;pal;2;0.0004663;0;239
graphs/01-original.graph;1;pal;4;0.0016243;0;244
graphs/01-original.graph;2;pal;4;0.0009525;0;245
graphs/01-original.graph;3;pal;4;0.0008037;0;244
graphs/01-original.graph;4;pal;4;0.0011052;0;244
graphs/01-original.graph;5;pal;4;0.0007937;0;244
graphs/01-original.graph;1;pal;8;0.0023070;0;253
graphs/01-original.graph;2;pal;8;0.0030126;80;253
graphs/01-original.graph;3;pal;8;0.0028439;80;255
graphs/01-original.graph;4;pal;8;0.0018144;626;253
graphs/01-original.graph;5;pal;8;0.0013378;0;253
graphs/01-original.graph;1;pal;16;0.0066434;1109;273
graphs/01-original.graph;2;pal;16;0.0057436;50;273
graphs/01-original.graph;3;pal;16;0.0044793;57;272
graphs/01-original.graph;4;pal;16;0.0060135;88;272
graphs/01-original.graph;5;pal;16;0.0063598;100;272
graphs/01-original.graph;1;pal;32;0.0291534;85;310
graphs/01-original.graph;2;pal;32;0.0253022;307;310
graphs/01-original.graph;3;pal;32;0.0259639;142;311
graphs/01-original.graph;4;pal;32;0.0247044;1339;311
graphs/01-original.graph;5;pal;32;0.0248356;184;311
graphs/02-20-nodes-fraction-65.graph;1;seq;1;165.0470497;100;242
graphs/02-20-nodes-fraction-65.graph;2;seq;1;166.0584235;100;242
graphs/02-20-nodes-fraction-65.graph;3;seq;1;166.2895616;100;242
graphs/02-20-nodes-fraction-65.graph;4;seq;1;166.2085385;100;242
graphs/02-20-nodes-fraction-65.graph;5;seq;1;166.3431558;100;242
graphs/02-20-nodes-fraction-65.graph;1;pal;1;219.6387380;100;244
graphs/02-20-nodes-fraction-65.graph;2;pal;1;216.7466941;100;245
graphs/02-20-nodes-fraction-65.graph;3;pal;1;217.4774253;100;244
graphs/02-20-nodes-fraction-65.graph;4;pal;1;218.1948723;100;245
graphs/02-20-nodes-fraction-65.graph;5;pal;1;220.9482506;100;244
graphs/02-20-nodes-fraction-65.graph;1;pal;2;135.2483937;193;259
graphs/02-20-nodes-fraction-65.graph;2;pal;2;135.3451110;194;260
graphs/02-20-nodes-fraction-65.graph;3;pal;2;134.9403550;192;259
graphs/02-20-nodes-fraction-65.graph;4;pal;2;134.5598887;193;259
graphs/02-20-nodes-fraction-65.graph;5;pal;2;135.1244243;193;259
graphs/02-20-nodes-fraction-65.graph;1;pal;4;61.5268554;310;281
graphs/02-20-nodes-fraction-65.graph;2;pal;4;54.0782230;330;281
graphs/02-20-nodes-fraction-65.graph;3;pal;4;57.9279264;302;283
graphs/02-20-nodes-fraction-65.graph;4;pal;4;54.0906942;325;281
graphs/02-20-nodes-fraction-65.graph;5;pal;4;57.6920722;302;282
graphs/02-20-nodes-fraction-65.graph;1;pal;8;45.7132240;470;326
graphs/02-20-nodes-fraction-65.graph;2;pal;8;47.0497482;503;328
graphs/02-20-nodes-fraction-65.graph;3;pal;8;45.6077630;471;326
graphs/02-20-nodes-fraction-65.graph;4;pal;8;44.1074924;484;326
graphs/02-20-nodes-fraction-65.graph;5;pal;8;44.4367372;469;326
graphs/02-20-nodes-fraction-65.graph;1;pal;16;43.2708134;625;413
graphs/02-20-nodes-fraction-65.graph;2;pal;16;43.8877916;547;414
graphs/02-20-nodes-fraction-65.graph;3;pal;16;43.0937280;597;412
graphs/02-20-nodes-fraction-65.graph;4;pal;16;43.3985049;587;414
graphs/02-20-nodes-fraction-65.graph;5;pal;16;43.1989513;554;413
graphs/02-20-nodes-fraction-65.graph;1;pal;32;43.1761511;688;588
graphs/02-20-nodes-fraction-65.graph;2;pal;32;43.4269179;684;589
graphs/02-20-nodes-fraction-65.graph;3;pal;32;43.3475067;612;588
graphs/02-20-nodes-fraction-65.graph;4;pal;32;43.4615181;621;588
graphs/02-20-nodes-fraction-65.graph;5;pal;32;43.1184239;631;589
graphs/03-20-nodes-fraction-80.graph;1;seq;1;178.6192707;100;242
graphs/03-20-nodes-fraction-80.graph;2;seq;1;177.9749880;100;243
graphs/03-20-nodes-fraction-80.graph;3;seq;1;178.4168138;100;244
graphs/03-20-nodes-fraction-80.graph;4;seq;1;178.5798456;100;242
graphs/03-20-nodes-fraction-80.graph;5;seq;1;178.1452110;100;242
graphs/03-20-nodes-fraction-80.graph;1;pal;1;442.6862869;100;245
graphs/03-20-nodes-fraction-80.graph;2;pal;1;435.3216630;100;245
graphs/03-20-nodes-fraction-80.graph;3;pal;1;433.7205853;100;244
graphs/03-20-nodes-fraction-80.graph;4;pal;1;436.3049722;100;244
graphs/03-20-nodes-fraction-80.graph;5;pal;1;433.5975065;100;245
graphs/03-20-nodes-fraction-80.graph;1;pal;2;290.8249878;178;259
graphs/03-20-nodes-fraction-80.graph;2;pal;2;269.5772014;182;260
graphs/03-20-nodes-fraction-80.graph;3;pal;2;291.6902027;178;259
graphs/03-20-nodes-fraction-80.graph;4;pal;2;270.6141280;182;260
graphs/03-20-nodes-fraction-80.graph;5;pal;2;284.5995854;177;258
graphs/03-20-nodes-fraction-80.graph;1;pal;4;171.5148105;299;281
graphs/03-20-nodes-fraction-80.graph;2;pal;4;196.4731596;311;283
graphs/03-20-nodes-fraction-80.graph;3;pal;4;172.2762028;299;282
graphs/03-20-nodes-fraction-80.graph;4;pal;4;171.6593511;300;281
graphs/03-20-nodes-fraction-80.graph;5;pal;4;172.0199166;301;281
graphs/03-20-nodes-fraction-80.graph;1;pal;8;111.5487130;435;326
graphs/03-20-nodes-fraction-80.graph;2;pal;8;112.6582208;457;326
graphs/03-20-nodes-fraction-80.graph;3;pal;8;112.6215500;457;325
graphs/03-20-nodes-fraction-80.graph;4;pal;8;114.9612365;459;326
graphs/03-20-nodes-fraction-80.graph;5;pal;8;113.1284933;456;325
graphs/03-20-nodes-fraction-80.graph;1;pal;16;84.0251884;665;411
graphs/03-20-nodes-fraction-80.graph;2;pal;16;83.8350549;663;413
graphs/03-20-nodes-fraction-80.graph;3;pal;16;84.1597539;656;413
graphs/03-20-nodes-fraction-80.graph;4;pal;16;84.1321647;661;412
graphs/03-20-nodes-fraction-80.graph;5;pal;16;79.4064187;697;414
graphs/03-20-nodes-fraction-80.graph;1;pal;32;84.1803242;700;587
graphs/03-20-nodes-fraction-80.graph;2;pal;32;84.0847881;707;589
graphs/03-20-nodes-fraction-80.graph;3;pal;32;110.7453131;617;590
graphs/03-20-nodes-fraction-80.graph;4;pal;32;77.7913779;764;589
graphs/03-20-nodes-fraction-80.graph;5;pal;32;84.0415523;705;586
graphs/04-20-nodes-fraction-89.graph;1;seq;1;187.5008434;100;242
graphs/04-20-nodes-fraction-89.graph;2;seq;1;187.4978988;100;242
graphs/04-20-nodes-fraction-89.graph;3;seq;1;186.5895472;100;243
graphs/04-20-nodes-fraction-89.graph;4;seq;1;186.8148521;100;242
graphs/04-20-nodes-fraction-89.graph;5;seq;1;187.2334796;100;242
graphs/04-20-nodes-fraction-89.graph;1;pal;1;310.7074471;100;244
graphs/04-20-nodes-fraction-89.graph;2;pal;1;311.5089179;100;244
